transcript	Kinesin_Family	st411	st413	st415	st441	st449	st451	st265	st266	st301	st302	st311	st312	st361	st362	st409	st410	st193	st194	st195	st196	st305	st306	st307	st308	st333	st334	st335	st336	st363	st364	st365	st366	st405	st406	st407	st408	st225	st226	st227	st228	st229	st230	st231	st232	st337	st338	st339	st340	st341	st342	st343	st344	st369	st370	st371	st372	st373	st374	st375	st376	st393	st394	st395	st396	st397	st398	st399	st400	st417	st418	st419	st420	st421	st422	st423	st424	st481	st482	st483	st484	st485	st486	st487	st488	st249	st250	st251	st252	st253	st254	st255	st256	st257	st258	st259	st260	st261	st262	st263	st264	st313	st314	st315	st316	st317	st318	st319	st320	st321	st322	st323	st324	st325	st327	st328	st345	st346	st347	st348	st349	st350	st351	st352	st353	st354	st355	st356	st357	st358	st359	st360	st377	st378	st379	st380	st381	st382	st383	st385	st386	st387	st388	st389	st390	st391	st392	st425	st426	st427	st428	st429	st430	st431	st432	st433	st434	st435	st436	st437	st438	st439	st440	st527	st528	st529	st530	st531	st532	st533	st535	st536	st537	st538	st539	st540	st541	st542	st465	st466	st467	st468	st469	st470	st471	st472	st473	st474	st475	st476	st477	st478	st479	st505	st506	st507	st508	st509	st510	st513	st514	st515	st516	st517	st518	st519	st520	st554	st555	st556	st557	st558	st561	st562	st563	st564	st565	st566	st567	st568
klp-2_(Kinesin-II)	Kinesin-II	0	11.57	0	2.53	0	2.48	0	0	0.72	0	1.21	0	0	0	0	0	0	0.68	0	0	13.55	19.4	0	0	4.94	0	3.56	0	0	0	0	0	0.84	0	0	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0.27	131.02	0	10.5	0	0	0	0	0.45	3.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0	0	0.47	136.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87	0	0	0.27	0.2	0	0	182.79	0	4.51	0	0	0	0	2.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
klp-20_(Kinesin-II)	Kinesin-II	9.68	1.69	0	16.61	0.14	0	33.45	7.47	4.03	21.67	7.95	6.75	0	0	5.34	0	0.15	10.49	1.46	3.24	12.6	0	0.97	1.36	0.29	8.89	16.89	0	14.81	0	28.96	0	9.76	0	0	0	10.85	0	0	0	0	0	0	0	0	15.97	111.42	0	2.2	92.84	0	4.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.99	0	0	72.54	0	0	6.47	19.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.25	0	0	0	0	0	0	0	0.52	0	0	0	0	0	0	0.35	0	90.85	59.41	0	0	0	0	0	0	0	0	48.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.77	0	0	0	0	0.51	68.58	0	0	3.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.76	0	0	0	0	0	0	0	0	0	0	0	0	0.16	6.25	0.23	33.43	0	2.86	0	2.04
klp-3_(NcD)	NcD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.12	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	1.52	0	0	0	0	0	0	0
klp-4_(UNC-104)	UNC-104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
klp-5_(Misc.)	Misc.	14.46	3.43	151.91	8.64	46.19	60.39	72.48	36.5	59.22	97.6	61.38	43.38	12.4	60.14	27.49	23.01	62.5	43.51	44.93	42.8	26.47	2.66	1.99	77.58	5.27	3.6	27.33	63.36	0	0	1.76	0	0	0.96	3.28	15.95	0	0	0	0	0	0	0	31.82	0	42.05	0	0	0	0.3	0	39.97	0	0	0	100.32	0	0.47	0	273.87	0.21	6.24	0	0	8.07	0	0	23.69	0	0	0	1.87	0	0	0	43.27	0	0.25	0.27	0	0	0	0	10.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.72	0	0	0	0	0	0	0.65	0	0	0	0	0	0	0	51.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.28	3.49	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45	6.23	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.76	0	0	0	0	0	0	0	0	0	0	0	8.68	0
klp-6_(UNC-104)	UNC-104	1.92	12.48	23.58	7.3	2.45	11.98	17.15	22.74	41.26	23.83	61.88	49.53	59.95	33.23	10.75	19.83	9.19	31.51	4.73	17.81	9.15	14.91	0	0.78	11.6	21.76	63.49	9.75	5.57	5.83	202.74	19.6	1.52	1.69	3.39	32.08	37.58	242.37	0	39.05	0	97.93	4.79	0	3.79	89.4	3.36	94.79	9.59	41.36	0.85	4.91	2.95	5.67	13.19	2.22	8.3	10.59	0	0	32.26	32.6	139.93	11.47	7.55	0	0	0	0	55.7	0	2.36	27.83	7.44	0	0	0.25	34.39	0	63.38	0	0	21.61	0	17.99	1.01	0	25.84	94.53	0	160.9	0.95	28.38	0	2.52	0	0	0	0	164.82	2.36	58.27	16.39	11.55	5.76	128.34	23.36	131.37	9.3	38.43	158.65	105.51	0	0	0	21.17	0.4	2.26	42.01	0	0	0	0.29	0	54.95	0	0	0	40.71	173.42	36.82	0	0	0	98.81	0	0	0	0	0	0	0	0	0	0	51.68	0	0	0	0	1.86	0	130.76	307.05	0	34.09	0	0	0	0	0	0	0	0	0	0	0	13.34	0	1.85	0	11.51	5.67	80.28	426.26	0	6.76	0	0.42	0	33.69	13.99	0	0	42.4	0.3	32.6	11.67	0	0	0.9	0	0	0	0	0	0.4	0.7	5.51	0	0	0	97.39	0	7.48	5.85	243.34	0.91	59.68	8.39	19.58	127.27	0.29	9	0.97	5.93	297.86	48.84	5.84
klp-7_(MCAK)	MCAK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61	0	0	0
klp-8_(Misc.)	Misc.	0.05	0.69	0	1.03	0.12	0.54	0	0	0	0	0	0	0	7.13	0	0	4.08	0	2.29	0	1.19	10.26	0	0	0	0	0	0	30.22	0	0	0	0	0	0	0	13.94	0.71	0	29.54	0	7	0	0	0.1	0	0	20.07	77.25	0	1.68	0	0	0	0	14.88	0.63	2.85	0	0	0	0	0	1.65	0.09	0	0.18	28.93	0	0	0	0	0	0	3.19	0	0	0	7.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.95	10.55	13.55	0	0	0	0	0	0.27	0	0	0	0	6.46	0	56.82	70.92	0	0.37	0	0.38	0	0	0.28	0	0	0	0	19.12	0	3.67	3.11	1.76	0	45.56	0	0	0	0	0	0	77.13	0	0	7.48	4.51	0	178.44	0	0	0	2.27	8.86	0	0	0	2.4	0	0	0	0	1	0	3.04	0	0	0	0.55	6.86	0	2.47	0	31	48.93	79.18	0	1.99	0	0	0	0	0	0	0	0	0.15	26.28	7.4	0	0	0	0	0	47.66	0	0	1.38	0	0	0	0	0	0	0	0	0	5.29	0	0	1.58	34.16	0	0	0	0.49	0	0	0	1.01	73.35	0	0	10.36	47.78	0	0
"klp-9a,b_(MKLP)"	MKLP	175.79	207.42	185.48	203.96	143.41	160.94	98.16	207.02	239.12	234.09	230.95	215.64	165.74	203.21	205.23	112.34	283.39	162.7	146.06	14.41	232.38	318.33	125.19	232.45	229.79	233.7	245.35	113.27	270.28	82.35	426.61	537.69	187.86	91.65	100.87	112.11	248.44	33.67	164.37	248.88	3.81	54.04	305.54	0.84	262.49	411.78	242.34	218.67	334.86	336.53	274.49	57.21	344.5	260.81	48.36	208.92	228.38	183.59	110.2	15.07	245.11	146.3	214.9	297.82	195.42	150.77	3.6	35.56	67.81	475.84	228.28	214.05	290.67	88.58	6.9	2.22	257.77	41.27	226.14	369.49	118.64	457.67	586.24	51.19	187.06	282.48	485.45	262.27	84.46	334.57	249.93	338.4	253.14	1.65	405.39	2.93	0	141.27	81.57	31.42	357.17	386.66	115.75	484.74	518.65	254.08	516.83	593.19	322.65	397.21	476.84	554.47	105.89	158.64	0.3	288.21	130.52	287.59	244.94	315.23	313.8	448.12	635.13	9.27	352.37	72.32	514.56	418.04	63.93	59.7	89.88	2.7	0	101.15	196.79	13.64	106.6	71.87	117.79	0	294.32	114.23	35.16	7.71	1246.1	622.58	238.8	159.73	0.83	585.86	191.25	686.2	2.13	0	37.98	565.63	176.22	24.09	96.62	0	80.1	14.87	135.73	122.85	352.01	408.23	173.51	33	10.71	352.73	479.53	310.23	594.75	285.29	828.3	461.92	367.39	604.61	222.69	459.07	41.08	395.43	513.72	307.02	333.08	450.7	162.59	287.4	1.08	18.95	192.94	0.42	85.54	281.5	80.88	760.82	395.46	799.06	183.18	11.45	3.64	5.54	350.44	11.26	32.79	143.3	150.77	45.23	602.54	522.58	247.07	410.64	431.1	430.48	307.64	15.54	513.32	101.52	31.75
klp-14_(BimC)	BimC	8.51	14.36	111.36	2.1	47.73	12.19	20.13	18.22	25.92	66.24	67.88	74.61	51.22	65.1	10.58	26.58	19.99	28.05	17.41	120.68	47.59	10.93	5.16	74.53	65.48	55.84	45.42	70.58	50.92	3.47	50.18	43.53	13.52	27.96	37.68	67.66	3.04	67.14	50.61	9.28	0	5.25	186.89	17.19	2.35	0.4	6.47	18.99	0.63	19.98	18.99	0.7	96.08	0	182.05	153.12	6.39	179.79	73.26	0	13.49	12.16	21.3	44.7	11.12	22.27	15.64	0	10.82	0	3.57	77.35	0.59	0	33.03	37.24	21.9	20.53	34.39	104.48	17.55	355.56	166.71	7.27	178.01	24.92	211.21	74.13	75.15	4.39	0.64	75.69	141.81	146.01	39.06	153.35	0.42	0	0	0.93	102.04	136.29	0	261.02	8.41	2.13	156.64	285.22	0.85	24.54	78.29	93.11	0	0.66	9.61	4.82	315.05	63.84	227.93	124.91	229.92	37.96	0.54	0	6.27	23.08	98.41	39.36	42.03	1.52	0	36.63	23.52	28.1	330.47	0	154.19	16.15	8.31	1.88	227.69	7.01	3.42	6.15	45.16	516.49	13.21	281.25	202.36	0	46.06	0	147.58	52.4	7.36	8.1	97.22	0	103.87	1.43	24.61	0	6.48	183.88	195.84	69.25	33.79	0.31	4.27	123	188.91	173.37	320.57	117.66	10.9	231.18	69.24	11.23	4.45	228.28	256.78	148.06	238.04	352.11	27.4	14.1	75.73	1.24	28.95	184.62	21.06	0.66	106.52	184.65	3.51	11.34	7.35	0.43	139.3	4.57	104.54	839.93	30.3	10.27	79.96	23.79	1.64	1.13	18.49	4.06	288.58	28.68	16.49	28.36	180.69	437.43	3.33	88.64	28.22
